Name,Languages,"Translated (Words)","Target Words","Approved (Words)",Votes
aafeng,"Chinese Simplified",1285,2089,0,0
"DavidM (kepon85)","Chinese Simplified",0,0,1285,0
abelard90,,0,0,0,0
isacastillor,,0,0,0,0
"erikaflynn (t257233)",,0,0,0,0
Daiky69,,0,0,0,0
"raja rizki (rizki271197)",,0,0,0,0
"bym (bymc)",,0,0,0,0
nasruddinn,,0,0,0,0
aikochan,,0,0,0,0
aleysiaa,,0,0,0,0
marinaaa07,,0,0,0,0
mertimza,,0,0,0,0
"Cryptoffer Translator  (toffer0219)",,0,0,0,0
thegreenfox,,0,0,0,0
philippeburguet,,0,0,0,0
iam-sweet,,0,0,0,0
sutanci,,0,0,0,0
"Mathieu (MathieuMD)",,0,0,0,0
petergriffin,,0,0,0,0
BenVenkinta,,0,0,0,0
"Karl Rostore (karlistore)",,0,0,0,0
Zoubit,,0,0,0,0
sudtec,,0,0,0,0
"Amirhossein yousefi (amir.sara)",,0,0,0,0
GRENERGIES,,0,0,0,0
agusalim,,0,0,0,0
ferimenn,,0,0,0,0
mirrim,,0,0,0,0
tarfayaproject,,0,0,0,0
coucou39,,0,0,0,0
"Philippe (ppmt)",,0,0,0,0
"Marion (guillerette)",,0,0,0,0
Mariajosi,,0,0,0,0
Nibor44,,0,0,0,0
Laeth,,0,0,0,0
"Ned (nednet)",,0,0,0,0
paulcmal,,0,0,0,0
Poussinou,,0,0,0,0
PifyZ,,0,0,0,0
taha2002,,0,0,0,0
StarlightF,,0,0,0,0
"billoges (billog2968)",,0,0,0,0
"Ceyda Mutlu (translator93)",,0,0,0,0
alfanerd,,0,0,0,0
"Andriy Poznakhovskyy (Andrulko)",,0,0,0,0
"Erol Yağız AYDIN (escorn)",,0,0,0,0
"Bartłomiej Mathea (apocz)",,0,0,0,0
"Juan Raúl Hernández (jraulhernandezi)",,0,0,0,0
"Emre Özdiyar (incendiesq)",,0,0,0,0
"Elías Loreto (eliasjloreto)",,0,0,0,0
"Ericka Simancas (ackseriam)",,0,0,0,0
"ayukhamil (javhihi19091996)",,0,0,0,0
"Fachrur Razi (fachrurrazi)",,0,0,0,0
"WATIL POODA (watilpooda69)",,0,0,0,0
